"","draw","R0_em","R0_ep","G_em","G_ep","lambda_em","lambda_ep","lambda_em_vt","lambda_ep_vt","pRep_em","pRep_ep","La_em","La_ep","matlifexp_em","matlifexp_ep","meanelexp_em","meanelexp_ep","entropyd_em","entropyd_ep","entropyk_em","entropyk_ep","firstrepro_em","firstrepro_ep","isergodic","isirreducible","shape_surv_em","shape_surv_ep","shape_rep_em","shape_rep_ep","longevity_em","longevity_ep","species"
"4878",NA,0.112522481139408,0.0709245321924127,3.20001526231025,3.62884323126422,0.505258577802032,0.482296477745076,0.489420538622272,0.472492366851767,0.321994756999436,0.321349245640579,2,2,-0.385949895438944,-0.461657859183232,1.61405010456106,1.53834214081677,1.54386180530735,1.69990708436012,NA,NA,1.22744264566846,1.7477952931259,TRUE,TRUE,-0.0224146174761607,-0.0349462908025862,0.306053727891286,0.321643778268647,6,6,"POAL"
"4879",NA,0.0586775339009539,0.0709401168553869,2.30339443001765,2.67234928076137,0.291972567368257,0.371535898243833,0.274363983942712,0.349729085640373,0.221570138477848,0.199711466948725,2,2,-0.705005016368539,-0.72591979226315,1.29499498363146,1.27408020773685,1.30463427352669,1.20547884366793,NA,NA,1.52603290909057,1.7134245060352,TRUE,TRUE,0.00722370426431324,-0.0215543596451373,0.302597538204045,0.305606342098015,4,4,"POAL"
"4880",NA,0.0570555710336058,0.0884309974759461,2.62131369878159,4.478911285814,0.335384123652025,0.581848509463266,0.320220209704747,0.572776994673308,0.257985482378552,0.451385601685747,2,2,-0.639106585445997,-0.0171584487660359,1.360893414554,1.98284155123396,1.26674997172422,1.96814317514461,NA,NA,1.44942923262398,1.60645832778003,TRUE,TRUE,-0.00263449621625478,-0.0202681392071604,0.288376080950006,0.308560223141238,4,8,"POAL"
"4881",NA,0.12298245131262,0.116820169363158,2.19737816971108,2.89520248661567,0.385299741889641,0.476344994072705,0.35536494677546,0.453113587270762,0.296105119373748,0.264267775965913,2,2,-0.548787629101268,-0.588592695770279,1.45121237089873,1.41140730422972,1.25997523113469,1.52076550725139,NA,NA,1.7395656156846,1.87360401917171,TRUE,TRUE,0.0341578046759737,-0.0318495931250583,0.26802172564163,0.313994376215604,4,5,"POAL"
"4882",NA,0.0429491021113297,0.0536119542637814,2.59625065475369,3.85349921652262,0.297477280182369,0.467991326975558,0.285562128054105,0.460771008295382,0.252952922949042,0.298821448116024,2,2,-0.654155989858748,-0.512281030618667,1.34584401014125,1.48771896938133,1.27980222684162,1.50168215832859,NA,NA,1.37900950536752,1.80020906372896,TRUE,TRUE,0.00294693566095333,-0.0437106534301666,0.292066972431413,0.300543752344572,4,5,"POAL"
"4883",NA,0.0289803683399945,0.0237727677993821,3.35865720305214,2.82103989995502,0.348425422689249,0.265677043247796,0.346349358188093,0.260469088158206,0.135212713869747,0.149388310487825,2,2,-0.840319259993805,-0.82039635042872,1.15968074000619,1.17960364957128,1.08605496751959,0.999975664905976,NA,NA,1.83832131704473,1.73322231123262,TRUE,TRUE,-0.0594442084243509,-0.0325904711460681,0.284862032721897,0.27792352313257,3,3,"POAL"
"4884",NA,0.0884615112886955,0.026600534995022,2.49753745611175,4.35146427560762,0.378692188266852,0.434537916636506,0.35697354773822,0.432247405806757,0.262064089309966,0.333652370431265,2,2,-0.617830362824283,-0.448018724471603,1.38216963717572,1.5519812755284,1.31351392128151,1.53944714432837,NA,NA,1.28854380841803,1.78398266086705,TRUE,TRUE,-0.00208995678314439,-0.0270454609808418,0.282580821144809,0.291158399523227,4,5,"POAL"
"4885",NA,0.0227149413817898,0.0707236590357486,2.70646891634447,3.46959659800109,0.246991266553567,0.466040767407839,0.244181106385706,0.453968058578922,0.159499539794019,0.293994506766867,2,2,-0.791539531961593,-0.545611797038891,1.20846046803841,1.45438820296111,1.09501230971533,1.49678841988781,NA,NA,1.52355367316183,2.12978387136528,TRUE,TRUE,-0.0282228005620584,-0.0413780851517856,0.268126247981183,0.30809272202245,3,5,"POAL"
"4886",NA,0.0581410854755132,0.0442018525758601,2.55372790376994,3.19363210985884,0.328239524118089,0.376579015448128,0.312130613604505,0.368746405345757,0.205956416897966,0.236186110439375,2,2,-0.734135981649352,-0.684037084805696,1.26586401835065,1.31596291519431,1.27699000811618,1.30129885563846,NA,NA,1.81194898232548,1.58923522283834,TRUE,TRUE,-0.0191584668436882,-0.0405617159049318,0.309777517258418,0.299519646772849,4,4,"POAL"
"4887",NA,0.16280225204594,0.344160123049106,5.48130543698626,4.60851942403081,0.718086350426106,0.793381255768497,0.70799672973918,0.7623161578723,0.409370230615061,0.562809035786742,2,2,0.0275887621130453,0.7597034873153,2.02758876211305,2.7597034873153,2.29046782361912,1.88892502359848,NA,NA,1.88986776359785,1.67597742657353,TRUE,TRUE,-0.0772827967059976,-0.0158892719253506,0.318538073972457,0.30240986675533,10,12,"POAL"
