"","R0_em","R0_ep","G_em","G_ep","lambda_em","lambda_ep","pRep_em","pRep_ep","La_em","La_ep","matlifexp_em","matlifexp_ep","meanelexp_em","meanelexp_ep","entropyd_em","entropyd_ep","entropyk_em","entropyk_ep","gini_em","gini_ep","longevity_em","longevity_ep","species"
"385",0.167010880652269,0.496005542806565,3.33806408410625,3.88641021910742,0.584997339406623,0.834923328750095,1,1,1,1,0.561977052443212,0.585712435062451,1.56197705244321,1.58571243506245,1.67861603535944,1.80420108851856,0.646404607410603,0.711920122005774,0,0,6,7,"FESU"
"386",0.853029446011751,1.00804403847057,3.0574709374509,4.09755708059164,0.949337336306916,1.00195718944303,1,1,1,1,0.888828803318202,0.936392974886955,1.8888288033182,1.93639297488696,1.49002824588912,1.96514488860344,0.695232266510447,0.837472419078611,0,0,7,9,"FESU"
"387",0.166679845182654,0.190698603871858,3.50998748264265,4.58342217240966,0.600224169840607,0.696607194367587,1,1,1,1,0.48725932275248,0.457076569665006,1.48725932275248,1.45707656966501,1.62813347236461,1.74833366853441,0.629567587190545,0.674469814374013,0,0,6,7,"FESU"
"388",0.133167937047057,0.981118616716882,2.85319481433223,3.90892051851774,0.493305352890436,0.995135355106175,1,1,1,1,0.344501635706099,0.726296953824072,1.3445016357061,1.72629695382407,1.60507543181844,1.91475966972678,0.510196776983533,0.799922377782562,0,0,5,8,"FESU"
"389",0.0581619433664487,0.168382055749128,2.09452529420925,3.69577823990715,0.25715512918873,0.617521224610013,1,1,1,1,0.134353420985268,0.321048539648559,1.13435342098527,1.32104853964856,1.24142020425372,1.54450158747953,0.298014276456413,0.534943795414656,0,0,3,5,"FESU"
"390",0.235583085410299,0.727910041809735,3.8949723989515,3.45790622581881,0.689927579650021,0.912250122035488,1,1,1,1,0.337396227774762,0.578995320639943,1.33739622777476,1.57899532063994,1.62049401661579,1.7467073613986,0.507602985633731,0.720250516195783,0,0,5,7,"FESU"
"391",0.140905897790568,0.535738527852839,2.80962550622722,4.20080684220032,0.497837319148446,0.861940657130152,1,1,1,1,0.300859307664071,0.693292272192121,1.30085930766407,1.69329227219212,1.52069623492206,2.02953519554818,0.468083890206418,0.835507358270194,0,0,4,9,"FESU"
"392",0.27141891248335,0.344267591676625,2.41940147016255,3.08662130411572,0.583322984456112,0.707887343521669,1,1,1,1,0.263225832322214,0.294060157325243,1.26322583232221,1.29406015732524,1.52272566889522,1.57540395044026,0.434052460787988,0.515532316612017,0,0,4,5,"FESU"
"393",0.0675966068710692,0.171804867218908,3.61711180401343,3.90343251027601,0.4748065965131,0.636836179417622,1,1,1,1,0.23800572907987,0.355309057147509,1.23800572907987,1.35530905714751,1.48954878027909,1.49981737998942,0.419507787821916,0.542611512461752,0,0,4,5,"FESU"
"394",0.158927146693819,0.34298997840992,2.76732612219412,4.43315807872602,0.514452426228714,0.785546899156939,1,1,1,1,0.358532262233849,0.853095464202937,1.35853226223385,1.85309546420294,1.58690093531007,1.95095635792819,0.507985289822246,0.842233107162521,0,0,5,9,"FESU"
"395",0.262031731918989,1.25271887357929,2.43439968435059,4.19013668974785,0.576862164934916,1.05524505143146,1,1,1,1,0.344378072717243,0.838892279817254,1.34437807271724,1.83889227981725,1.60574468597214,2.04223655392308,0.496985390662549,0.839788918191826,0,0,5,9,"FESU"
"396",0.173212420351154,0.124398965732892,2.52654753521762,2.76820735934942,0.499610830970926,0.470985387304164,1,1,1,1,0.249030692345634,0.229760664103349,1.24903069234563,1.22976066410335,1.34983446344104,1.29355064771151,0.40155793821547,0.426717374329046,0,0,3,4,"FESU"
"397",0.319708949599713,0.291625110137446,5.15652885440004,3.6889261540059,0.801599871452298,0.716017904884487,1,1,1,1,0.611816928759125,0.56678295631667,1.61181692875912,1.56678295631667,1.55607024327124,1.75301917284997,0.614331460756246,0.710187462266111,0,0,5,7,"FESU"
"398",0.126062408915862,0.368254240411124,2.88638842996862,3.85602190302865,0.487971590943353,0.771768574162658,1,1,1,1,0.274042909753153,0.505832315932571,1.27404290975315,1.50583231593257,1.50953853599502,1.78964897146523,0.451029248947051,0.688077410938114,0,0,4,7,"FESU"
"399",0.479027819148387,0.332783277537002,2.73662160718215,4.93016320553551,0.764186427473395,0.799978955482013,1,1,1,1,0.494254911357674,0.808390479539061,1.49425491135767,1.80839047953906,1.62688392478929,2.03322527702143,0.57172086843754,0.828965047726106,0,0,5,9,"FESU"
"400",0.257384458788533,0.185778321135306,2.96449966196137,4.33418898331163,0.632666226175879,0.678171991608405,1,1,1,1,0.328781717094618,0.50414329010982,1.32878171709462,1.50414329010982,1.63347623204582,1.63115544352152,0.50548445672679,0.647085472888191,0,0,5,6,"FESU"
"401",0.0117753491298225,0.0234002405667575,2.27108417652656,2.67528634382835,0.141453727075617,0.245712917476881,1,1,1,1,0.0885823319646164,0.147114492301862,1.08858233196462,1.14711449230186,0.867637754217221,1.15549259885364,0.21254171894438,0.317957988177805,0,0,2,3,"POAL"
"402",0.0528095460390014,0.0696381311402238,2.27245248976257,2.89065219298948,0.274110400213975,0.397824397616674,1,1,1,1,0.120906299810225,0.330933921697193,1.12090629981022,1.33093392169719,1.01081250353994,1.26211829999439,0.277270058062142,0.469802664477915,0,0,3,4,"POAL"
"403",0.0610712720909961,0.0449171824816418,1.81029231771362,3.79655959289243,0.21345189419296,0.441621645246484,1,1,1,1,0.315493273895887,0.377436633186218,1.31549327389589,1.37743663318622,0.824999224287915,1.37747193809599,0.434773887204359,0.543796807178216,0,0,3,5,"POAL"
"404",0.0548677124324547,0.0355104540181774,4.70969757529406,4.39994807051799,0.539910591799245,0.468308043612364,1,1,1,1,0.307109371553014,0.530425183071623,1.30710937155301,1.53042518307162,1.02759651756243,1.46943707167486,0.508596747457463,0.614017176271548,0,0,5,6,"POAL"
"405",0.0540158880712466,0.077105735123808,2.091626743219,3.19249378955019,0.247755113572217,0.448122626760271,1,1,1,1,0.333463348757906,0.495303293276918,1.33346334875791,1.49530329327692,1.15892313931968,1.32767839246554,0.460465009036225,0.57399445882114,0,0,4,5,"POAL"
"406",0.0389205556290982,0.0388016382461746,2.1797821711122,3.23654559517047,0.225542560957076,0.366433388379597,1,1,1,1,0.247701137473958,0.368115221183053,1.24770113747396,1.36811522118305,1.026619751248,1.26862773614554,0.382954653000282,0.529981396764623,0,0,3,5,"POAL"
"407",0.044298170588021,0.0528545055306305,2.35927609017402,3.17443680202664,0.266844752640111,0.396049759232194,1,1,1,1,0.19934883465253,0.414175595026031,1.19934883465253,1.41417559502603,1.20698931653026,1.36074535480392,0.356710036488412,0.540436783058305,0,0,3,5,"POAL"
"408",0.0141147138011043,0.0365386329790258,2.35443200748856,3.58932012109464,0.163722578507177,0.397719254942826,1,1,1,1,0.135736318160894,0.381968346031641,1.13573631816089,1.38196834603164,0.950025338564619,1.35002995165937,0.295947406817665,0.53383673160338,0,0,3,5,"POAL"
"409",0.0516440366194453,0.12999999519508,1.61990759246151,2.99795998526276,0.160517613514513,0.506345320986319,1,1,1,1,0.170487120958969,0.673134848169573,1.17048712095897,1.67313484816957,0.890935033961779,1.47590084044836,0.297907794169331,0.616453391394302,0,0,3,6,"POAL"
"410",0.0689371586648949,0.0510080046343369,2.44866665206234,3.08856340875495,0.335460338795221,0.381562285852231,1,1,1,1,0.203234618003716,0.329087141300136,1.20323461800372,1.32908714130014,1.23637732314667,1.24621994393887,0.361788314440712,0.477763974624695,0,0,3,4,"POAL"
"411",0.0316450690190786,0.0463535323507725,1.57642820992843,2.44901627289811,0.111860311363854,0.285315467216217,1,1,1,1,0.102395424589794,0.1935950944681,1.10239542458979,1.1935950944681,0.7730424975188,1.06758974725857,0.235294971794141,0.360800370257819,0,0,2,3,"POAL"
"412",0.0424856832020553,0.0612345726627434,2.3218492055772,2.42895280963533,0.256564269563947,0.316669673130351,1,1,1,1,0.148593248373033,0.20233126840111,1.14859324837303,1.20233126840111,1.2626221241929,1.03392906792839,0.294728251829337,0.367174104012039,0,0,3,3,"POAL"
"413",0.0330941256638367,0.0453278682661379,1.98265353809412,2.84106493802578,0.179225591260747,0.336563122403591,1,1,1,1,0.0916765391891248,0.278367866686416,1.09167653918912,1.27836786668642,0.968443748054103,1.20085297216798,0.223741891604139,0.430889090538182,0,0,2,4,"POAL"
"414",0.0190542252763083,0.0620034839868118,1.85075144220541,3.68192538058764,0.117663850389891,0.469919856779518,1,1,1,1,0.0716192895590011,0.477324730387005,1.071619289559,1.47732473038701,0.933455968577511,1.4004887217276,0.194855664752887,0.578563871050775,0,0,2,5,"POAL"
